field,fieldtype,from,fromString,to,toString,key,created,author
Workflow,jira,32188,Scrum Workflow,107785,Generic Scrum Workflow,SLICE-107,2015-01-08T13:24:38.194+0000,
Workflow,jira,31775,Scrum Workflow,107821,Generic Scrum Workflow,SLICE-106,2015-01-08T13:24:38.737+0000,
Workflow,jira,31774,Scrum Workflow,107826,Generic Scrum Workflow,SLICE-105,2015-01-08T13:24:38.809+0000,
status,jira,10000,To Do,3,In Progress,SLICE-104,2010-05-23T20:42:34.194+0000,U2
resolution,jira,,,8,Complete,SLICE-104,2010-05-23T20:43:57.369+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-104,2010-05-23T20:43:57.369+0000,U2
Workflow,jira,31772,Scrum Workflow,107831,Generic Scrum Workflow,SLICE-104,2015-01-08T13:24:38.880+0000,
status,jira,10000,To Do,3,In Progress,SLICE-103,2010-05-23T18:45:03.209+0000,U2
timespent,jira,,,1200,1200,SLICE-103,2010-05-23T19:07:58.951+0000,U2
timeestimate,jira,,,0,0,SLICE-103,2010-05-23T19:07:58.951+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-103,2010-05-23T20:03:49.544+0000,U2
resolution,jira,,,8,Complete,SLICE-103,2010-05-23T20:03:49.544+0000,U2
Workflow,jira,31771,Scrum Workflow,107829,Generic Scrum Workflow,SLICE-103,2015-01-08T13:24:38.852+0000,
status,jira,10000,To Do,3,In Progress,SLICE-102,2010-05-20T01:48:49.237+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-102,2010-05-20T01:49:59.024+0000,U2
resolution,jira,,,8,Complete,SLICE-102,2010-05-20T01:49:59.024+0000,U2
Workflow,jira,31743,Scrum Workflow,107791,Generic Scrum Workflow,SLICE-102,2015-01-08T13:24:38.281+0000,
status,jira,10000,To Do,3,In Progress,SLICE-101,2010-05-20T00:38:32.155+0000,U2
timespent,jira,,,3600,3600,SLICE-101,2010-05-20T01:48:37.727+0000,U2
timeestimate,jira,,,0,0,SLICE-101,2010-05-20T01:48:37.727+0000,U2
resolution,jira,,,8,Complete,SLICE-101,2010-05-20T01:48:43.584+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-101,2010-05-20T01:48:43.584+0000,U2
Workflow,jira,31742,Scrum Workflow,107814,Generic Scrum Workflow,SLICE-101,2015-01-08T13:24:38.631+0000,
summary,jira,,Change the name of the {{ca}} tag to {{constructor-arg}} upon completion of SPR-7218,,Change the name of the ca tag to constructor-arg upon completion of SPR-7218,SLICE-100,2010-05-19T03:07:03.126+0000,U2
Link,jira,,,SPR-7218,This issue depends on SPR-7218,SLICE-100,2010-05-19T03:07:17.831+0000,U2
Fix Version,jira,11499,Sprint 7,,,SLICE-100,2010-05-23T18:07:49.803+0000,U2
Fix Version,jira,,,11502,Sprint 8,SLICE-100,2010-05-23T18:07:49.803+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-100,2010-05-23T18:10:02.876+0000,U2
timeestimate,jira,,,0,0,SLICE-100,2010-05-23T18:11:23.370+0000,U2
timespent,jira,,,1800,1800,SLICE-100,2010-05-23T18:11:23.370+0000,U2
resolution,jira,,,8,Complete,SLICE-100,2010-05-23T18:11:34.644+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-100,2010-05-23T18:11:34.644+0000,U2
Workflow,jira,31729,Scrum Workflow,107828,Generic Scrum Workflow,SLICE-100,2015-01-08T13:24:38.837+0000,
status,jira,10000,To Do,3,In Progress,SLICE-99,2010-05-19T01:56:16.335+0000,U2
timeestimate,jira,,,0,0,SLICE-99,2010-05-19T19:37:23.077+0000,U2
timespent,jira,,,7200,7200,SLICE-99,2010-05-19T19:37:23.077+0000,U2
timespent,jira,7200,7200,10800,10800,SLICE-99,2010-05-19T19:37:32.446+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-99,2010-05-19T19:37:39.625+0000,U2
resolution,jira,,,8,Complete,SLICE-99,2010-05-19T19:37:39.625+0000,U2
Workflow,jira,31725,Scrum Workflow,107752,Generic Scrum Workflow,SLICE-99,2015-01-08T13:24:37.647+0000,
status,jira,10000,To Do,3,In Progress,SLICE-98,2010-05-19T01:56:06.342+0000,U2
timespent,jira,,,600,600,SLICE-98,2010-05-19T21:33:08.663+0000,U2
timeestimate,jira,,,0,0,SLICE-98,2010-05-19T21:33:08.663+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-98,2010-05-19T21:33:15.188+0000,U2
resolution,jira,,,8,Complete,SLICE-98,2010-05-19T21:33:15.188+0000,U2
Workflow,jira,31724,Scrum Workflow,107772,Generic Scrum Workflow,SLICE-98,2015-01-08T13:24:37.973+0000,
Fix Version,jira,11499,Sprint 7,,,SLICE-97,2010-05-23T18:07:50.669+0000,U2
Fix Version,jira,,,11502,Sprint 8,SLICE-97,2010-05-23T18:07:50.669+0000,U2
Workflow,jira,31722,Scrum Workflow,107824,Generic Scrum Workflow,SLICE-97,2015-01-08T13:24:38.781+0000,
status,jira,10000,To Do,3,In Progress,SLICE-96,2010-05-18T23:15:41.618+0000,U2
timespent,jira,,,3600,3600,SLICE-96,2010-05-19T00:24:28.669+0000,U2
timeestimate,jira,,,0,0,SLICE-96,2010-05-19T00:24:28.669+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-96,2010-05-19T00:24:39.364+0000,U2
resolution,jira,,,8,Complete,SLICE-96,2010-05-19T00:24:39.364+0000,U2
Workflow,jira,31720,Scrum Workflow,107766,Generic Scrum Workflow,SLICE-96,2015-01-08T13:24:37.871+0000,
status,jira,10000,To Do,3,In Progress,SLICE-95,2010-05-18T18:19:07.446+0000,U2
timespent,jira,,,14400,14400,SLICE-95,2010-05-18T23:15:27.715+0000,U2
timeestimate,jira,,,0,0,SLICE-95,2010-05-18T23:15:27.715+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-95,2010-05-18T23:15:33.411+0000,U2
resolution,jira,,,8,Complete,SLICE-95,2010-05-18T23:15:33.411+0000,U2
Workflow,jira,31719,Scrum Workflow,107784,Generic Scrum Workflow,SLICE-95,2015-01-08T13:24:38.168+0000,
Fix Version,jira,11499,Sprint 7,,,SLICE-94,2010-05-23T18:07:51.116+0000,U2
Fix Version,jira,,,11502,Sprint 8,SLICE-94,2010-05-23T18:07:51.116+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-94,2010-05-23T18:41:37.980+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-94,2010-05-23T20:44:02.897+0000,U2
resolution,jira,,,8,Complete,SLICE-94,2010-05-23T20:44:02.897+0000,U2
Workflow,jira,31713,Scrum Workflow,107825,Generic Scrum Workflow,SLICE-94,2015-01-08T13:24:38.795+0000,
Fix Version,jira,11499,Sprint 7,,,SLICE-93,2010-05-23T18:07:51.424+0000,U2
Fix Version,jira,,,11502,Sprint 8,SLICE-93,2010-05-23T18:07:51.424+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-93,2010-05-23T20:44:18.311+0000,U2
Workflow,jira,31712,Scrum Workflow,107822,Generic Scrum Workflow,SLICE-93,2015-01-08T13:24:38.752+0000,
Parent Issue,custom,SLICE-89,SLICE-89,SLICE-84,SLICE-84,SLICE-92,2010-05-17T00:27:00.622+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-92,2010-05-17T18:26:14.965+0000,U2
timeestimate,jira,,,0,0,SLICE-92,2010-05-17T22:51:45.655+0000,U2
timespent,jira,,,7200,7200,SLICE-92,2010-05-17T22:51:45.655+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-92,2010-05-17T22:51:52.454+0000,U2
resolution,jira,,,8,Complete,SLICE-92,2010-05-17T22:51:52.454+0000,U2
Workflow,jira,31700,Scrum Workflow,107833,Generic Scrum Workflow,SLICE-92,2015-01-08T13:24:38.912+0000,
status,jira,10000,To Do,3,In Progress,SLICE-91,2010-05-17T22:51:58.147+0000,U2
timeestimate,jira,,,0,0,SLICE-91,2010-05-18T01:53:17.204+0000,U2
timespent,jira,,,10800,10800,SLICE-91,2010-05-18T01:53:17.204+0000,U2
resolution,jira,,,8,Complete,SLICE-91,2010-05-18T01:53:25.140+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-91,2010-05-18T01:53:25.140+0000,U2
Workflow,jira,31699,Scrum Workflow,107768,Generic Scrum Workflow,SLICE-91,2015-01-08T13:24:37.917+0000,
status,jira,10000,To Do,3,In Progress,SLICE-90,2010-05-17T00:27:44.525+0000,U2
timespent,jira,,,7200,7200,SLICE-90,2010-05-17T18:25:59.721+0000,U2
timeestimate,jira,,,0,0,SLICE-90,2010-05-17T18:25:59.721+0000,U2
resolution,jira,,,8,Complete,SLICE-90,2010-05-17T18:26:06.171+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-90,2010-05-17T18:26:06.171+0000,U2
Workflow,jira,31698,Scrum Workflow,107827,Generic Scrum Workflow,SLICE-90,2015-01-08T13:24:38.823+0000,
status,jira,10000,To Do,3,In Progress,SLICE-89,2010-05-18T02:18:47.623+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-89,2010-05-19T00:24:45.927+0000,U2
resolution,jira,,,8,Complete,SLICE-89,2010-05-19T00:24:45.927+0000,U2
Workflow,jira,31697,Scrum Workflow,107800,Generic Scrum Workflow,SLICE-89,2015-01-08T13:24:38.406+0000,
status,jira,10000,To Do,3,In Progress,SLICE-88,2010-05-19T00:33:39.164+0000,U2
timespent,jira,,,3600,3600,SLICE-88,2010-05-19T01:49:13.430+0000,U2
timeestimate,jira,,,0,0,SLICE-88,2010-05-19T01:49:13.430+0000,U2
resolution,jira,,,8,Complete,SLICE-88,2010-05-19T01:49:21.505+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-88,2010-05-19T01:49:21.505+0000,U2
Workflow,jira,31696,Scrum Workflow,107777,Generic Scrum Workflow,SLICE-88,2015-01-08T13:24:38.043+0000,
status,jira,10000,To Do,3,In Progress,SLICE-87,2010-05-19T23:00:08.525+0000,U2
resolution,jira,,,8,Complete,SLICE-87,2010-05-20T01:50:08.642+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-87,2010-05-20T01:50:08.642+0000,U2
Workflow,jira,31695,Scrum Workflow,107830,Generic Scrum Workflow,SLICE-87,2015-01-08T13:24:38.867+0000,
Fix Version,jira,11499,Sprint 7,,,SLICE-86,2010-05-23T18:07:51.769+0000,U2
Fix Version,jira,,,11502,Sprint 8,SLICE-86,2010-05-23T18:07:51.769+0000,U2
Workflow,jira,31694,Scrum Workflow,107834,Generic Scrum Workflow,SLICE-86,2015-01-08T13:24:38.925+0000,
status,jira,10000,To Do,3,In Progress,SLICE-85,2010-05-19T01:55:01.288+0000,U2
resolution,jira,,,8,Complete,SLICE-85,2010-05-19T21:33:26.002+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-85,2010-05-19T21:33:26.002+0000,U2
Workflow,jira,31693,Scrum Workflow,107832,Generic Scrum Workflow,SLICE-85,2015-01-08T13:24:38.898+0000,
status,jira,10000,To Do,3,In Progress,SLICE-84,2010-05-17T00:27:51.126+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-84,2010-05-18T01:53:30.769+0000,U2
resolution,jira,,,8,Complete,SLICE-84,2010-05-18T01:53:30.769+0000,U2
Workflow,jira,31692,Scrum Workflow,107835,Generic Scrum Workflow,SLICE-84,2015-01-08T13:24:38.939+0000,
Workflow,jira,31218,Scrum Workflow,107799,Generic Scrum Workflow,SLICE-83,2015-01-08T13:24:38.392+0000,
Workflow,jira,31207,Scrum Workflow,107779,Generic Scrum Workflow,SLICE-82,2015-01-08T13:24:38.077+0000,
Workflow,jira,31206,Scrum Workflow,107744,Generic Scrum Workflow,SLICE-81,2015-01-08T13:24:37.514+0000,
Workflow,jira,31205,Scrum Workflow,107811,Generic Scrum Workflow,SLICE-80,2015-01-08T13:24:38.560+0000,
Workflow,jira,31203,Scrum Workflow,107786,Generic Scrum Workflow,SLICE-79,2015-01-08T13:24:38.207+0000,
Attachment,jira,,,16380,SLICE-78.patch,SLICE-78,2010-04-06T00:09:32.693+0000,U3
Workflow,jira,31201,Scrum Workflow,107787,Generic Scrum Workflow,SLICE-78,2015-01-08T13:24:38.220+0000,
Workflow,jira,31200,Scrum Workflow,107769,Generic Scrum Workflow,SLICE-77,2015-01-08T13:24:37.930+0000,
Workflow,jira,31199,Scrum Workflow,107789,Generic Scrum Workflow,SLICE-76,2015-01-08T13:24:38.247+0000,
Workflow,jira,31197,Scrum Workflow,107836,Generic Scrum Workflow,SLICE-75,2015-01-08T13:24:38.954+0000,
Workflow,jira,31180,Scrum Workflow,107823,Generic Scrum Workflow,SLICE-74,2015-01-08T13:24:38.765+0000,
Workflow,jira,31112,Scrum Workflow,107813,Generic Scrum Workflow,SLICE-73,2015-01-08T13:24:38.616+0000,
Workflow,jira,30995,Scrum Workflow,107819,Generic Scrum Workflow,SLICE-72,2015-01-08T13:24:38.706+0000,
status,jira,10000,To Do,3,In Progress,SLICE-71,2010-03-10T05:53:26.814+0000,U2
timeestimate,jira,7200,7200,0,0,SLICE-71,2010-03-10T06:28:32.737+0000,U2
timespent,jira,,,1800,1800,SLICE-71,2010-03-10T06:28:32.737+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-71,2010-03-10T06:28:41.295+0000,U2
resolution,jira,,,8,Complete,SLICE-71,2010-03-10T06:28:41.295+0000,U2
Workflow,jira,30785,Scrum Workflow,107748,Generic Scrum Workflow,SLICE-71,2015-01-08T13:24:37.582+0000,
status,jira,10000,To Do,3,In Progress,SLICE-70,2010-03-10T07:05:14.851+0000,U2
Fix Version,jira,11395,1.0.0.M1,,,SLICE-70,2010-03-15T04:48:18.293+0000,U2
Fix Version,jira,11430,Sprint 5,,,SLICE-70,2010-03-15T04:48:18.293+0000,U2
Fix Version,jira,11396,1.0.0.RELEASE,,,SLICE-70,2010-03-15T04:48:18.293+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-70,2010-03-18T00:49:19.716+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-70,2010-03-18T00:49:19.716+0000,U2
Fix Version,jira,,,11435,Sprint 6,SLICE-70,2010-03-18T00:49:19.716+0000,U2
timeestimate,jira,1800,1800,0,0,SLICE-70,2010-03-18T20:07:27.246+0000,U2
timespent,jira,,,3600,3600,SLICE-70,2010-03-18T20:07:27.246+0000,U2
timespent,jira,3600,3600,7200,7200,SLICE-70,2010-03-18T20:07:34.613+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-70,2010-03-18T20:07:40.209+0000,U2
resolution,jira,,,8,Complete,SLICE-70,2010-03-18T20:07:40.209+0000,U2
Workflow,jira,30784,Scrum Workflow,107812,Generic Scrum Workflow,SLICE-70,2015-01-08T13:24:38.594+0000,
status,jira,10000,To Do,3,In Progress,SLICE-69,2010-03-09T05:27:12.968+0000,U2
timespent,jira,,,3600,3600,SLICE-69,2010-03-10T07:04:54.828+0000,U2
timeestimate,jira,3600,3600,0,0,SLICE-69,2010-03-10T07:04:54.828+0000,U2
resolution,jira,,,8,Complete,SLICE-69,2010-03-10T07:05:08.569+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-69,2010-03-10T07:05:08.569+0000,U2
Workflow,jira,30783,Scrum Workflow,107778,Generic Scrum Workflow,SLICE-69,2015-01-08T13:24:38.057+0000,
status,jira,10000,To Do,3,In Progress,SLICE-68,2010-03-09T05:26:23.339+0000,U2
timespent,jira,,,1200,1200,SLICE-68,2010-03-09T05:26:33.244+0000,U2
timeestimate,jira,1800,1800,0,0,SLICE-68,2010-03-09T05:26:33.244+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-68,2010-03-09T05:26:40.442+0000,U2
resolution,jira,,,8,Complete,SLICE-68,2010-03-09T05:26:40.442+0000,U2
Workflow,jira,30782,Scrum Workflow,107796,Generic Scrum Workflow,SLICE-68,2015-01-08T13:24:38.352+0000,
status,jira,10000,To Do,3,In Progress,SLICE-67,2010-03-06T23:26:01.540+0000,U2
timespent,jira,,,3600,3600,SLICE-67,2010-03-07T16:01:35.388+0000,U2
timeestimate,jira,7200,7200,3600,3600,SLICE-67,2010-03-07T16:01:35.388+0000,U2
timeestimate,jira,3600,3600,0,0,SLICE-67,2010-03-07T16:01:43.678+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-67,2010-03-07T16:01:43.837+0000,U2
resolution,jira,,,8,Complete,SLICE-67,2010-03-07T16:01:43.837+0000,U2
Workflow,jira,30781,Scrum Workflow,107808,Generic Scrum Workflow,SLICE-67,2015-01-08T13:24:38.519+0000,
status,jira,10000,To Do,3,In Progress,SLICE-66,2010-03-06T14:14:52.586+0000,U2
timeestimate,jira,7200,7200,3600,3600,SLICE-66,2010-03-06T15:00:26.019+0000,U2
timespent,jira,,,3600,3600,SLICE-66,2010-03-06T15:00:26.019+0000,U2
timespent,jira,3600,3600,5400,5400,SLICE-66,2010-03-06T23:25:47.561+0000,U2
timeestimate,jira,3600,3600,1800,1800,SLICE-66,2010-03-06T23:25:47.561+0000,U2
timeestimate,jira,1800,1800,0,0,SLICE-66,2010-03-06T23:25:55.948+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-66,2010-03-06T23:25:56.315+0000,U2
resolution,jira,,,8,Complete,SLICE-66,2010-03-06T23:25:56.315+0000,U2
Workflow,jira,30780,Scrum Workflow,107803,Generic Scrum Workflow,SLICE-66,2015-01-08T13:24:38.449+0000,
status,jira,10000,To Do,3,In Progress,SLICE-65,2010-03-06T14:12:53.843+0000,U2
timespent,jira,,,1800,1800,SLICE-65,2010-03-06T14:13:02.769+0000,U2
timeestimate,jira,1800,1800,0,0,SLICE-65,2010-03-06T14:13:02.769+0000,U2
resolution,jira,,,8,Complete,SLICE-65,2010-03-06T14:13:12.153+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-65,2010-03-06T14:13:12.153+0000,U2
Workflow,jira,30779,Scrum Workflow,107745,Generic Scrum Workflow,SLICE-65,2015-01-08T13:24:37.531+0000,
status,jira,10000,To Do,3,In Progress,SLICE-64,2010-03-06T14:14:43.777+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-64,2010-03-09T05:26:44.588+0000,U2
resolution,jira,,,8,Complete,SLICE-64,2010-03-09T05:26:44.588+0000,U2
Workflow,jira,30772,Scrum Workflow,107740,Generic Scrum Workflow,SLICE-64,2015-01-08T13:24:37.434+0000,
status,jira,10000,To Do,3,In Progress,SLICE-63,2010-03-03T01:59:42.689+0000,U2
timespent,jira,,,25200,25200,SLICE-63,2010-03-04T02:58:07.822+0000,U2
timeestimate,jira,14400,14400,0,0,SLICE-63,2010-03-04T02:58:07.822+0000,U2
resolution,jira,,,8,Complete,SLICE-63,2010-03-04T02:58:14.310+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-63,2010-03-04T02:58:14.310+0000,U2
Workflow,jira,30721,Scrum Workflow,107792,Generic Scrum Workflow,SLICE-63,2015-01-08T13:24:38.295+0000,
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-62,2010-03-05T02:05:16.705+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-62,2010-03-05T02:05:16.705+0000,U2
Fix Version,jira,,,11430,Sprint 5,SLICE-62,2010-03-05T02:05:16.705+0000,U2
Story Points,custom,,,,2,SLICE-62,2010-03-05T02:06:06.503+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-62,2010-03-09T05:26:52.839+0000,U2
Fix Version,jira,11396,1.0.0.RELEASE,,,SLICE-62,2010-03-15T04:48:18.616+0000,U2
Fix Version,jira,11430,Sprint 5,,,SLICE-62,2010-03-15T04:48:18.616+0000,U2
Fix Version,jira,11395,1.0.0.M1,,,SLICE-62,2010-03-15T04:48:18.616+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-62,2010-03-18T00:49:20.145+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-62,2010-03-18T00:49:20.145+0000,U2
Fix Version,jira,,,11435,Sprint 6,SLICE-62,2010-03-18T00:49:20.145+0000,U2
resolution,jira,,,8,Complete,SLICE-62,2010-03-18T20:07:47.875+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-62,2010-03-18T20:07:47.875+0000,U2
Workflow,jira,30718,Scrum Workflow,107817,Generic Scrum Workflow,SLICE-62,2015-01-08T13:24:38.677+0000,
Fix Version,jira,,,11430,Sprint 5,SLICE-61,2010-03-05T02:05:16.519+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-61,2010-03-05T02:05:16.519+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-61,2010-03-05T02:05:16.519+0000,U2
Story Points,custom,,,,2,SLICE-61,2010-03-05T02:06:23.310+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-61,2010-03-06T14:12:50.271+0000,U2
resolution,jira,,,8,Complete,SLICE-61,2010-03-06T14:13:20.906+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-61,2010-03-06T14:13:20.906+0000,U2
Workflow,jira,30717,Scrum Workflow,107790,Generic Scrum Workflow,SLICE-61,2015-01-08T13:24:38.267+0000,
reporter,jira,nebhale,Ben Hale,david_syer,Dave Syer,SLICE-60,2010-03-01T23:02:05.159+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-60,2010-03-05T02:05:16.315+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-60,2010-03-05T02:05:16.315+0000,U2
Fix Version,jira,,,11430,Sprint 5,SLICE-60,2010-03-05T02:05:16.315+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-60,2010-03-10T05:53:22.251+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-60,2010-03-10T06:28:45.866+0000,U2
resolution,jira,,,8,Complete,SLICE-60,2010-03-10T06:28:45.866+0000,U2
Workflow,jira,30695,Scrum Workflow,107818,Generic Scrum Workflow,SLICE-60,2015-01-08T13:24:38.692+0000,
Workflow,jira,30677,Scrum Workflow,107807,Generic Scrum Workflow,SLICE-59,2015-01-08T13:24:38.505+0000,
Workflow,jira,30676,Scrum Workflow,107798,Generic Scrum Workflow,SLICE-58,2015-01-08T13:24:38.379+0000,
Workflow,jira,30675,Scrum Workflow,107805,Generic Scrum Workflow,SLICE-57,2015-01-08T13:24:38.477+0000,
Workflow,jira,30674,Scrum Workflow,107757,Generic Scrum Workflow,SLICE-56,2015-01-08T13:24:37.732+0000,
Workflow,jira,30673,Scrum Workflow,107816,Generic Scrum Workflow,SLICE-55,2015-01-08T13:24:38.662+0000,
Workflow,jira,30672,Scrum Workflow,107749,Generic Scrum Workflow,SLICE-54,2015-01-08T13:24:37.597+0000,
Workflow,jira,30671,Scrum Workflow,107761,Generic Scrum Workflow,SLICE-53,2015-01-08T13:24:37.791+0000,
status,jira,10000,To Do,3,In Progress,SLICE-52,2010-03-02T03:27:43.880+0000,U2
timeestimate,jira,7200,7200,0,0,SLICE-52,2010-03-03T01:21:39.641+0000,U2
timespent,jira,,,7200,7200,SLICE-52,2010-03-03T01:21:39.641+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-52,2010-03-03T01:21:45.861+0000,U2
resolution,jira,,,8,Complete,SLICE-52,2010-03-03T01:21:45.861+0000,U2
